,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,seeger
alpha_post=60000.00000000002/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=lever/comp_post=risk/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.1344309490700666,-1.0,-1.0,-1.0,-1.0,-1.0,0.28812614,0.028866667,-1.0,0.0297,-1.0,-1.0,-1.0,0.2019127597313398
alpha_post=969.0463085136714/alpha_prior=969.0463085136714/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.0021693716,116.59033203125,408.54645,0.0,525.1368,0.0,0.46960124,0.43666667,-1.0,0.4348,-1.0,-1.0,-1.0,0.4694837651435493
alpha_post=3833.6586254776325/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=lever/comp_post=risk/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.0012734137237036,-1.0,-1.0,-1.0,-1.0,-1.0,0.926083,0.90085,-1.0,0.8991,-1.0,-1.0,-1.0,0.915250603523036
alpha_post=3833.6586254776325/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.0,-1365.723388671875,3443.2249,0.0,2077.5015,0.0,0.8976833,0.8976833,-1.0,0.8989,-1.0,-1.0,-1.0,0.8976833231919756
alpha_post=60000.00000000002/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.518847,31117.248046875,1397.4038,0.0,32514.652,0.0,0.5354697,0.026133334,-1.0,0.0273,-1.0,-1.0,-1.0,0.4710437905598998
alpha_post=15166.394348316875/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.12689811,7600.314453125,618.5197,0.0,8218.834,0.0,0.30335763,0.051466666,-1.0,0.046,-1.0,-1.0,-1.0,0.2360607662030676
alpha_post=244.94897427831785/alpha_prior=244.94897427831785/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.00060216937,22.558204650878903,110.182304,0.0,132.74051,0.0,0.47761846,0.46026668,-1.0,0.4623,-1.0,-1.0,-1.0,0.4775902951643281
alpha_post=2279.5070569547775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0,-754.462646484375,2052.8367,156.229,1236.0756,93.93056,0.9001,0.9001,0.9015333,0.8999,0.9123333,0.9124,0.9183,0.9000999949850144
alpha_post=628.3487915845371/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0052086273,143.03343200683594,142.62828,38.866596,340.72568,93.93056,0.27749914,0.22646667,0.2233,0.2215,0.9123333,0.9124,0.9183,0.2709888174096574
alpha_post=60000.00000000002/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=lever/comp_post=risk/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.1344309490700666,-1.0,-1.0,-1.0,-1.0,-1.0,0.3886428,0.12938334,-1.0,0.1432,-1.0,-1.0,-1.0,0.3589132667558016
