,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,comp_sgd_post,comp_sgd_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,risk_sgd_post,risk_sgd_prior,risk_sgd_test,seeger
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=param_norm/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,31.831957,1909903.8,3954.6467,0.0,1913858.4,0.0,11794604.0,0.0,4.8903337,0.90085,-1,0.8991,-1,-1,-1,0.021366667,-1,0.0222,0.9999999992612748
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=path_norm/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,1.6180497,97069.4140625,138.53604,0.0,97207.95,0.0,362504930.0,0.0,1.8123081,0.91285,-1,0.9059,-1,-1,-1,0.021366667,-1,0.0222,0.999999999350682
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_l2/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,7.794616,467663.40625,16793.66,0.0,484457.06,0.0,920056.94,0.0,2.80151,0.82735,-1,0.8256,-1,-1,-1,0.14161667,-1,0.1528,0.9999999993568288
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_l2/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,7.794616,467663.40625,16793.66,0.0,484457.06,0.0,892309.8,0.0,2.8633933,0.88923335,-1,0.8901,-1,-1,-1,0.035766665,-1,0.0345,0.9999999991747242
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=param_norm/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,31.831957,1909903.75,3954.6467,0.0,1913858.4,0.0,12392552.0,0.0,4.8894835,0.9,-1,0.9,-1,-1,-1,0.14161667,-1,0.1528,0.9999999992549418
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_fro/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,65.128395,3907690.25,3954.6472,0.0,3911645.0,0.0,14108416.0,0.0,6.5329547,0.82645,-1,0.8249,-1,-1,-1,0.14161667,-1,0.1528,0.9999999993534758
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_fro/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,65.128395,3907690.25,3954.6472,0.0,3911645.0,0.0,13270280.0,0.0,6.5846715,0.8781667,-1,0.8804,-1,-1,-1,0.035766665,-1,0.0345,0.999999999092271
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_dist_l2/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,6.794518,407657.5,195.25,0.0,407852.75,0.0,0.0,0.0,1.8897989,0.046633333,-1,0.0447,-1,-1,-1,0.035766665,-1,0.0345,0.9993408334937212
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=sum_fro/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,3.2089922,192525.953125,1030.8628,0.0,193556.81,0.0,1225757.4,0.0,2.1543202,0.8876333,-1,0.8865,-1,-1,-1,0.035766665,-1,0.0345,0.999999999162803
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=sum_fro/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,3.0411298,182454.203125,11102.616,0.0,193556.81,0.0,3249049.5,0.0,2.133112,0.9,-1,0.9,-1,-1,-1,0.14161667,-1,0.1528,0.9999999992549418
